area_name,area_code,data
Andaman & Nicobar Islands,IND035,62.33
Andhra Pradesh,IND028,71.28
Arunachal Pradesh,IND012,57.78
Assam,IND018,57.83
Bihar,IND010,50.61
Chandigarh,IND004,68.83
Chhattisgarh,IND022,59.72
Dadra & Nagar Haveli,IND026,0.00
Dadra & Nagar Haveli and Daman & Diu,IND038,58.94
Daman & Diu,IND025,0.00
Delhi,IND007,62.00
Goa,IND030,70.94
Gujarat,IND024,66.39
Haryana,IND006,64.06
Himachal Pradesh,IND002,68.17
India,IND,63.22
Jammu & Kashmir,IND001,65.39
Jharkhand,IND020,54.89
Karnataka,IND029,70.89
Kerala,IND032,72.83
Ladakh,IND037,57.50
Lakshadweep,IND031,58.61
Madhya Pradesh,IND023,59.61
Maharashtra,IND027,68.11
Manipur,IND014,63.89
Meghalaya,IND017,55.67
Mizoram,IND015,64.17
Nagaland,IND013,55.61
Odisha,IND021,62.56
Puducherry,IND034,65.39
Punjab,IND003,67.44
Rajasthan,IND008,59.89
Sikkim,IND011,67.33
Tamil Nadu,IND033,73.11
Telangana,IND036,65.39
Tripura,IND016,63.00
Uttar Pradesh,IND009,59.33
Uttarakhand,IND005,70.39
West Bengal,IND019,67.94
